ship_id,weapon_system,fire_arc,point_blank,short,long,extreme,ad,ap,dd,traits
374,Light Guns (4 x 4.7-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",2,-2,1,"DP, Restricted, Weak"
374,Port Type 90 Torpedoes,Port,"3""","6""","9""","12""",2,-,3,"Devastating, Slow-Loading"
374,Port Type 90 Torpedoes,Port,"3""","6""","9""","12""",2,-,3,"Devastating, Slow-Loading"
374,Starboard Type 90 Torpedoes,Starboard,"3""","6""","9""","12""",2,-,3,"Devastating, Slow-Loading"
374,Starboard Type 90 Torpedoes,Starboard,"3""","6""","9""","12""",2,-,3,"Devastating, Slow-Loading"
374,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
375,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
375,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
375,Q Turret (2 x 8-inch),"Port, Starboard","8""","16""","24""","32""",2,-,1,-
375,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","32""",2,-,1,-
375,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","32""",2,-,1,-
375,Light Guns (4 x 4.7-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",2,-2,1,"DP, Restricted, Weak"
375,Port Type 93 Torpedoes,Port,"8""","16""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
375,Port Type 93 Torpedoes,Port,"8""","16""","25""","34""",4,-,3,"Devastating, One-Shot, Wakeless"
375,Starboard Type 93 Torpedoes,Starboard,"8""","16""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
375,Starboard Type 93 Torpedoes,Starboard,"8""","16""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
375,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
376,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
376,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
376,Q Turret (2 x 8-inch),"Port, Starboard","8""","16""","24""","32""",2,-,1,-
376,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","32""",2,-,1,-
376,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","32""",2,-,1,-
376,Light Guns (4 x 4.7-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",2,-2,1,"DP, Restricted, Weak"
376,Port Type 93 Torpedoes,Port,"8""","16""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
376,Port Type 93 Torpedoes,Port,"8""","16""","25""","34""",4,-,3,"Devastating, One-Shot, Wakeless"
376,Starboard Type 93 Torpedoes,Starboard,"8""","16""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
376,Starboard Type 93 Torpedoes,Starboard,"8""","16""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
376,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
377,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
377,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
377,Q Turret (2 x 8-inch),"Port, Starboard","8""","16""","24""","32""",2,-,1,-
377,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","32""",2,-,1,-
377,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","32""",2,-,1,-
377,Light Guns (4 x 4.7-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",2,-2,1,"DP, Restricted, Weak"
377,Port Type 90 Torpedoes,Port,"3""","6""","9""","12""",2,-,3,"Devastating, Slow-Loading"
377,Port Type 90 Torpedoes,Port,"3""","6""","9""","12""",2,-,3,"Devastating, Slow-Loading"
377,Starboard Type 90 Torpedoes,Starboard,"3""","6""","9""","12""",2,-,3,"Devastating, Slow-Loading"
377,Starboard Type 90 Torpedoes,Starboard,"3""","6""","9""","12""",2,-,3,"Devastating, Slow-Loading"
377,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
378,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
378,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
378,Q Turret (2 x 8-inch),"Port, Starboard","8""","16""","24""","32""",2,-,1,-
378,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","32""",2,-,1,-
378,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","32""",2,-,1,-
378,Light Guns (4 x 4.7-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",2,-2,1,"DP, Restricted, Weak"
378,Port Type 90 Torpedoes,Port,"3""","6""","9""","12""",2,-,3,"Devastating, Slow-Loading"
378,Port Type 90 Torpedoes,Port,"3""","6""","9""","12""",2,-,3,"Devastating, Slow-Loading"
378,Starboard Type 90 Torpedoes,Starboard,"3""","6""","9""","12""",2,-,3,"Devastating, Slow-Loading"
378,Starboard Type 90 Torpedoes,Starboard,"3""","6""","9""","12""",2,-,3,"Devastating, Slow-Loading"
378,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (0)
379,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
379,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
379,Q Turret (2 x 8-inch),"Port, Starboard","8""","16""","24""","32""",2,-,1,-
379,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","32""",2,-,1,-
379,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","32""",2,-,1,-
379,Light Guns (4 x 4.7-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",2,-2,1,"DP, Restricted, Weak"
379,Port Type 93 Torpedoes,Port,"8""","16""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
379,Port Type 93 Torpedoes,Port,"8""","16""","25""","34""",4,-,3,"Devastating, One-Shot, Wakeless"
379,Starboard Type 93 Torpedoes,Starboard,"8""","16""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
379,Starboard Type 93 Torpedoes,Starboard,"8""","16""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
379,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
380,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
380,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
380,X Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","32""",2,-,1,-
380,Y Turret (2 x 8-inch),"Aft, Port, Starboard","8""","16""","24""","32""",2,-,1,-
380,Light Guns (12 x 5-inch),"Fore, Aft, Port, Starboard","4""","8""","12""","16""",8,-2,1,"DP, Restricted, Weak"
380,Port Type 93 Torpedoes,Port,"8""","17""","25""","34""",4,-,3,"Devastating, One-Shot, Wakeless"
380,Port Type 93 Torpedoes,Port,"8""","17""","25""","34""",4,-,3,"Devastating, One-Shot, Wakeless"
380,Starboard Type 93 Torpedoes,Starboard,"8""","17""","25""","34""",4,-,3,"Devastating, One-Shot, Wakeless"
380,Starboard Type 93 Torpedoes,Starboard,"8""","17""","25""","34""",4,-,3,"Devastating, One-Shot, Wakeless"
380,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (5)
381,Light Guns (4 x 5.5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","21""",2,-2,1,Weak
381,Port/Starboard Type 6 Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,2,"Devastating, One-Shot"
381,Port/Starboard Type 6 Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,2,"Devastating, One-Shot"
381,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
382,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
382,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
382,Q Turret (2 x 8-inch),"Port, Starboard","8""","16""","24""","32""",2,-,1,-
382,R Turret (2 x 8-inch),"Port, Starboard","8""","16""","24""","32""",2,-,1,-
382,Light Guns (8 x 5-inch),"Fore, Aft, Port, Starboard","4""","8""","12""","16""",6,-,1,"DP, Restricted, Weak"
382,Port Type 93 Torpedoes,Port,"8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
382,Port Type 93 Torpedoes,Port,"8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
382,Starboard Type 93 Torpedoes,Starboard,"8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
382,Starboard Type 93 Torpedoes,Starboard,"8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
382,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
383,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
383,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
383,Q Turret (2 x 8-inch),"Port, Starboard","8""","16""","24""","32""",2,-,1,-
383,R Turret (2 x 8-inch),"Port, Starboard","8""","16""","24""","32""",2,-,1,-
383,Light Guns (8 x 5-inch),"Fore, Aft, Port, Starboard","4""","8""","12""","16""",6,-,1,"DP, Restricted, Weak"
383,Port Type 93 Torpedoes,Port,"8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
383,Port Type 93 Torpedoes,Port,"8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
383,Starboard Type 93 Torpedoes,Starboard,"8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
383,Starboard Type 93 Torpedoes,Starboard,"8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
383,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (3)
384,A Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
384,B Turret (2 x 8-inch),"Fore, Port, Starboard","8""","16""","24""","32""",2,-,1,-
384,Q Turret (2 x 8-inch),"Port, Starboard","8""","16""","24""","32""",2,-,1,-
384,R Turret (2 x 8-inch),"Port, Starboard","8""","16""","24""","32""",2,-,1,-
384,Light Guns (8 x 5-inch),"Fore, Aft, Port, Starboard","4""","8""","12""","16""",6,-,1,"DP, Restricted, Weak"
384,Port Type 93 Torpedoes,Port,"8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
384,Port Type 93 Torpedoes,Port,"8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
384,Starboard Type 93 Torpedoes,Starboard,"8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
384,Starboard Type 93 Torpedoes,Starboard,"8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
384,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (4)
385,Light Guns (6 x 5.5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","21""",4,-2,1,Weak
385,Port/Starboard Type 8 Torpedoes,"Port, Starboard","4""","8""","12""","16""",2,-,3,"Devastating, Slow-Loading"
385,Port/Starboard Type 8 Torpedoes,"Port, Starboard","4""","8""","12""","16""",2,-,3,"Devastating, Slow-Loading"
385,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
386,Light Guns (4 x 5.5-inch),"Fore, Aft, Port, Starboard","5""","11""","17""","23""",2,-2,1,Weak
386,Light Guns (1 x 4.7-inch),"Fore, Port, Starboard","4""","9""","13""","18""",1,-2,1,"DP, Slow-Loading, Weak"
386,Port/Starboard Type 8 Torpedoes,"Port, Starboard","4""","8""","12""","16""",2,-,3,"Devastating, Slow-Loading"
386,Port/Starboard Type 8 Torpedoes,"Port, Starboard","4""","8""","12""","16""",2,-,3,"Devastating, Slow-Loading"
386,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
387,Light Guns (6 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",3,-2,1,"DP, Weak"
387,Port/Starboard Type 90 Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
387,Port/Starboard Type 90 Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
387,Port/Starboard Type 90 Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
387,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
388,Light Guns (6 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",3,-2,1,"DP, Weak"
388,Port/Starboard Type 90 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot, Wakeless"
388,Port/Starboard Type 90 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot, Wakeless"
388,Port/Starboard Type 90 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot, Wakeless"
388,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
389,Light Guns (4 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,"DP, Weak"
389,Port/Starboard Type 90 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot, Wakeless"
389,Port/Starboard Type 90 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot, Wakeless"
389,Port/Starboard Type 90 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot, Wakeless"
389,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
390,Light Guns (4 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,"DP, Weak"
390,Port/Starboard Type 90 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot, Wakeless"
390,Port/Starboard Type 90 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot, Wakeless"
390,Port/Starboard Type 90 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot, Wakeless"
390,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
391,Light Guns (8 x 3.9-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","21""",4,-2,1,"DP, Weak"
391,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
391,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
392,Light Guns (8 x 3.9-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","21""",4,-2,1,"DP, Weak"
392,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
392,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
393,Light Guns (8 x 3.9-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","21""",4,-2,1,"DP, Weak"
393,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
393,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
394,Light Guns (8 x 3.9-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","21""",4,-2,1,"DP, Weak"
394,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
394,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
395,Light Guns (8 x 3.9-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","21""",4,-2,1,"DP, Weak"
395,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
395,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
396,Light Guns (6 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",3,-2,1,Weak
396,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
396,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
396,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
397,Light Guns (6 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",3,-2,1,Weak
397,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
397,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
397,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
398,Light Guns (4 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,Weak
398,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
398,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
398,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
399,Light Guns (4 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,Weak
399,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
399,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, One-Shot, Wakeless"
399,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
400,Light Guns (4 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",3,-2,1,Weak
400,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
400,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, One-Shot, Wakeless"
400,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
401,Light Guns (6 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",3,-2,1,Weak
401,Port/Starboard Type 90 Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
401,Port/Starboard Type 90 Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
401,Port/Starboard Type 90 Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
401,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
402,Light Guns (6 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",3,-2,1,"DP, Weak"
402,Port/Starboard Type 90 Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
402,Port/Starboard Type 90 Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
402,Port/Starboard Type 90 Torpedoes,"Port, Starboard","3""","6""","9""","12""",3,-,3,"Devastating, One-Shot"
402,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
403,Light Guns (6 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",3,-2,1,"DP, Weak"
403,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
403,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
403,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
403,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
404,Light Guns (4 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,"DP, Weak"
404,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
404,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
404,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
404,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
405,Light Guns (6 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",3,-2,1,Weak
405,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
405,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
405,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
405,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
406,Light Guns (4 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,Weak
406,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
406,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
406,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
406,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
407,Light Guns (6 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",3,-2,1,"DP, Weak"
407,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
407,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
407,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot"
407,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
408,Light Guns (5 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",3,-2,1,Weak
408,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
408,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
408,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
409,Light Guns (4 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,Weak
409,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, Slow-Loading, Wakeless"
409,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",3,-,3,"Devastating, One-Shot, Wakeless"
409,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
410,Light Guns (6 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",3,-2,1,Weak
410,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
410,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
410,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
411,Light Guns (6 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",3,-2,1,Weak
411,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
411,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
411,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
412,Light Guns (4 x 5-inch),"Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,Weak
412,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
412,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
413,Light Guns (4 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,Weak
413,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
413,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
413,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
414,Light Guns (4 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,Weak
414,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
414,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
414,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (2)
415,Light Guns (4 x 5-inch),"Fore, Aft, Port, Starboard","5""","10""","15""","20""",2,-2,1,Weak
415,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
415,Port/Starboard Type 93 Torpedoes,"Port, Starboard","8""","17""","25""","34""",4,-,3,"Devastating, Slow-Loading, Wakeless"
415,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (3)
416,Light Guns (4 x 4.7-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",2,-2,1,-
416,Port/Starboard Type 6 Torpedoes,"Port, Starboard","3""","6""","9""","12""",2,-,2,"Devastating, One-Shot"
416,Port/Starboard Type 6 Torpedoes,"Port, Starboard","3""","6""","9""","12""",2,-,2,"Devastating, One-Shot"
416,Port/Starboard Type 6 Torpedoes,"Port, Starboard","3""","6""","9""","12""",2,-,2,"Devastating, One-Shot"
416,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
417,Light Guns (4 x 4.7-inch),"Fore, Aft, Port, Starboard","4""","9""","13""","18""",2,-2,1,-
417,Port/Starboard Type 6 Torpedoes,"Port, Starboard","3""","6""","9""","12""",2,-,2,"Devastating, One-Shot"
417,Port/Starboard Type 6 Torpedoes,"Port, Starboard","3""","6""","9""","12""",2,-,2,"Devastating, One-Shot"
417,Port/Starboard Type 6 Torpedoes,"Port, Starboard","3""","6""","9""","12""",2,-,2,"Devastating, One-Shot"
417,AA Battery,"Fore, Aft, Port, Starboard",-,-,-,-,-,-,-,Local (1)
